color,bestColor,contrast,compliance
#006018,#ffffff,7.82,AAA
#006020,#ffffff,7.8,AAA
#006028,#ffffff,7.77,AAA
#006030,#ffffff,7.73,AAA
#006038,#ffffff,7.69,AAA
#006040,#ffffff,7.64,AAA
#006048,#ffffff,7.59,AAA
#006050,#ffffff,7.53,AAA
#006058,#ffffff,7.46,AAA
#006060,#ffffff,7.39,AAA
#006068,#ffffff,7.31,AAA
#006070,#ffffff,7.22,AAA
#006078,#ffffff,7.13,AAA
#006080,#ffffff,7.04,AAA
#006088,#ffffff,6.93,AA
#006090,#ffffff,6.83,AA
#006098,#ffffff,6.72,AA
#0060a0,#ffffff,6.6,AA
#0060a8,#ffffff,6.48,AA
#0060b0,#ffffff,6.36,AA
#0060b8,#ffffff,6.24,AA
#0060c0,#ffffff,6.11,AA
#0060c8,#ffffff,5.99,AA
#0060d0,#ffffff,5.86,AA
#0060d8,#ffffff,5.73,AA
#0060e0,#ffffff,5.6,AA
#0060e8,#ffffff,5.47,AA
#0060f0,#ffffff,5.34,AA
#0060f8,#ffffff,5.21,AA
#006800,#ffffff,7.05,AAA
#006808,#ffffff,7.04,AAA
#006810,#ffffff,7.03,AAA
#006818,#ffffff,7.02,AAA
#006820,#ffffff,7.0,AA
#006828,#ffffff,6.97,AA
#006830,#ffffff,6.95,AA
#006838,#ffffff,6.91,AA
#006840,#ffffff,6.88,AA
#006848,#ffffff,6.83,AA
#006850,#ffffff,6.78,AA
#006858,#ffffff,6.73,AA
#006860,#ffffff,6.67,AA
#006868,#ffffff,6.6,AA
#006870,#ffffff,6.53,AA
#006878,#ffffff,6.46,AA
#006880,#ffffff,6.38,AA
#006888,#ffffff,6.3,AA
#006890,#ffffff,6.21,AA
#006898,#ffffff,6.12,AA
#0068a0,#ffffff,6.02,AA
#0068a8,#ffffff,5.92,AA
#0068b0,#ffffff,5.82,AA
#0068b8,#ffffff,5.72,AA
#0068c0,#ffffff,5.61,AA
#0068c8,#ffffff,5.51,AA
#0068d0,#ffffff,5.4,AA
#0068d8,#ffffff,5.29,AA
#0068e0,#ffffff,5.18,AA
#0068e8,#ffffff,5.07,AA
#0068f0,#ffffff,4.95,AA
#0068f8,#ffffff,4.84,AA
#007000,#ffffff,6.33,AA
#007008,#ffffff,6.32,AA
#007010,#ffffff,6.32,AA
#007018,#ffffff,6.3,AA
#007020,#ffffff,6.29,AA
#007028,#ffffff,6.27,AA
#007030,#ffffff,6.25,AA
#007038,#ffffff,6.22,AA
#007040,#ffffff,6.19,AA
#007048,#ffffff,6.16,AA
#007050,#ffffff,6.12,AA
#007058,#ffffff,6.07,AA
#007060,#ffffff,6.02,AA
#007068,#ffffff,5.97,AA
#007070,#ffffff,5.91,AA
#007078,#ffffff,5.85,AA
#007080,#ffffff,5.79,AA
#007088,#ffffff,5.72,AA
#007090,#ffffff,5.64,AA
#007098,#ffffff,5.57,AA
#0070a0,#ffffff,5.49,AA
#0070a8,#ffffff,5.41,AA
#0070b0,#ffffff,5.32,AA
#0070b8,#ffffff,5.24,AA
#0070c0,#ffffff,5.15,AA
#0070c8,#ffffff,5.06,AA
#0070d0,#ffffff,4.97,AA
#0070d8,#ffffff,4.87,AA
#0070e0,#ffffff,4.78,AA
#0070e8,#ffffff,4.68,AA
#0070f0,#ffffff,4.59,AA
#0070f8,#000000,4.67,AA
#007800,#ffffff,5.7,AA
#007808,#ffffff,5.69,AA
#007810,#ffffff,5.68,AA
#007818,#ffffff,5.68,AA
#007820,#ffffff,5.66,AA
#007828,#ffffff,5.65,AA
#007830,#ffffff,5.63,AA
#007838,#ffffff,5.61,AA
#007840,#ffffff,5.58,AA
#007848,#ffffff,5.56,AA
#007850,#ffffff,5.52,AA
#007858,#ffffff,5.49,AA
#007860,#ffffff,5.45,AA
#007868,#ffffff,5.4,AA
#007870,#ffffff,5.36,AA
#007878,#ffffff,5.31,AA
#007880,#ffffff,5.25,AA
