color,bestColor,contrast,compliance
#0038b8,#ffff00,8.66,AAA
#0038c0,#ffff00,8.4,AAA
#0038c8,#ffff00,8.15,AAA
#0038d0,#ffff00,7.9,AAA
#0038d8,#ffff00,7.65,AAA
#0038e0,#ffff00,7.4,AAA
#0038e8,#ffff00,7.16,AAA
#0038f0,#ffff00,6.93,AA
#0038f8,#ffff00,6.69,AA
#004000,#ffff00,11.28,AAA
#004008,#ffff00,11.26,AAA
#004010,#ffff00,11.23,AAA
#004018,#ffff00,11.2,AAA
#004020,#ffff00,11.15,AAA
#004028,#ffff00,11.09,AAA
#004030,#ffff00,11.01,AAA
#004038,#ffff00,10.92,AAA
#004040,#ffff00,10.82,AAA
#004048,#ffff00,10.7,AAA
#004050,#ffff00,10.58,AAA
#004058,#ffff00,10.43,AAA
#004060,#ffff00,10.28,AAA
#004068,#ffff00,10.12,AAA
#004070,#ffff00,9.94,AAA
#004078,#ffff00,9.76,AAA
#004080,#ffff00,9.56,AAA
#004088,#ffff00,9.36,AAA
#004090,#ffff00,9.16,AAA
#004098,#ffff00,8.94,AAA
#0040a0,#ffff00,8.73,AAA
#0040a8,#ffff00,8.51,AAA
#0040b0,#ffff00,8.29,AAA
#0040b8,#ffff00,8.06,AAA
#0040c0,#ffff00,7.84,AAA
#0040c8,#ffff00,7.62,AAA
#0040d0,#ffff00,7.4,AAA
#0040d8,#ffff00,7.18,AAA
#0040e0,#ffff00,6.96,AA
#0040e8,#ffff00,6.75,AA
#0040f0,#ffff00,6.54,AA
#0040f8,#ffff00,6.33,AA
#004800,#ffff00,10.15,AAA
#004808,#ffff00,10.13,AAA
#004810,#ffff00,10.11,AAA
#004818,#ffff00,10.08,AAA
#004820,#ffff00,10.04,AAA
#004828,#ffff00,9.99,AAA
#004830,#ffff00,9.93,AAA
#004838,#ffff00,9.86,AAA
#004840,#ffff00,9.77,AAA
#004848,#ffff00,9.68,AAA
#004850,#ffff00,9.57,AAA
#004858,#ffff00,9.46,AAA
#004860,#ffff00,9.33,AAA
#004868,#ffff00,9.19,AAA
#004870,#ffff00,9.05,AAA
#004878,#ffff00,8.9,AAA
#004880,#ffff00,8.74,AAA
#004888,#ffff00,8.57,AAA
#004890,#ffff00,8.39,AAA
#004898,#ffff00,8.22,AAA
#0048a0,#ffff00,8.03,AAA
#0048a8,#ffff00,7.85,AAA
#0048b0,#ffff00,7.66,AAA
#0048b8,#ffff00,7.47,AAA
#0048c0,#ffff00,7.28,AAA
#0048c8,#ffff00,7.08,AAA
#0048d0,#ffff00,6.89,AA
#0048d8,#ffff00,6.7,AA
#0048e0,#ffff00,6.51,AA
#0048e8,#ffff00,6.32,AA
#0048f0,#ffff00,6.14,AA
#0048f8,#ffff00,5.96,AA
#005000,#ffff00,9.11,AAA
#005008,#ffff00,9.09,AAA
