color,bestColor,contrast,compliance
#800080,#ffa500,4.77,AA
#8000a0,#ffa500,4.38,None
#8000c0,#ffa500,3.97,None
#8000e0,#ffa500,3.55,None
#802000,#ffa500,5.01,AA
#802020,#ffa500,4.96,AA
#802040,#ffa500,4.84,AA
#802060,#ffa500,4.64,AA
#802080,#ffa500,4.37,None
#8020a0,#ffa500,4.04,None
#8020c0,#ffa500,3.69,None
#8020e0,#ffa500,3.32,None
#804000,#ffa500,4.01,None
#804020,#ffa500,3.98,None
#804040,#ffa500,3.9,None
#804060,#ffa500,3.77,None
#804080,#ffa500,3.59,None
#8040a0,#ffa500,3.37,None
#8040c0,#ffa500,3.12,None
#8040e0,#ffa500,2.85,None
#806000,#ffa500,2.96,None
#806020,#ffa500,2.94,None
#806040,#ffa500,2.9,None
#806060,#ffa500,2.83,None
#806080,#ffa500,2.72,None
#8060a0,#ffa500,2.59,None
#8060c0,#ffa500,2.44,None
#8060e0,#ffa500,2.28,None
#808000,#800080,2.25,None
#808020,#800080,2.25,None
#808040,#800080,2.28,None
#808060,#800080,2.32,None
#808080,#800080,2.38,None
#8080a0,#800080,2.47,None
#8080c0,#800080,2.59,None
#8080e0,#800080,2.73,None
#80a000,#800080,3.12,None
#80a020,#800080,3.12,None
#80a040,#800080,3.15,None
#80a060,#800080,3.19,None
#80a080,#800080,3.26,None
#80a0a0,#800080,3.34,None
#80a0c0,#800080,3.46,None
#80a0e0,#800080,3.6,None
#80c000,#800080,4.24,None
#80c020,#800080,4.25,None
#80c040,#800080,4.28,None
#80c060,#800080,4.32,None
#80c080,#800080,4.38,None
#80c0a0,#800080,4.47,None
#80c0c0,#800080,4.58,AA
#80c0e0,#800080,4.72,AA
#80e000,#800080,5.64,AA
#80e020,#800080,5.65,AA
#80e040,#800080,5.68,AA
#80e060,#800080,5.72,AA
#80e080,#800080,5.78,AA
#80e0a0,#800080,5.87,AA
#80e0c0,#800080,5.98,AA
#80e0e0,#800080,6.13,AA
#a00000,#ffa500,4.26,None
#a00020,#ffa500,4.23,None
#a00040,#ffa500,4.14,None
#a00060,#ffa500,3.99,None
#a00080,#ffa500,3.79,None
#a000a0,#ffa500,3.54,None
#a000c0,#ffa500,3.27,None
#a000e0,#ffa500,2.98,None
#a02000,#ffa500,3.94,None
#a02020,#ffa500,3.91,None
#a02040,#ffa500,3.83,None
#a02060,#ffa500,3.7,None
#a02080,#ffa500,3.53,None
#a020a0,#ffa500,3.31,None
#a020c0,#ffa500,3.07,None
#a020e0,#ffa500,2.81,None
#a04000,#ffa500,3.29,None
#a04020,#ffa500,3.27,None
#a04040,#ffa500,3.22,None
#a04060,#ffa500,3.13,None
#a04080,#ffa500,3.0,None
#a040a0,#ffa500,2.85,None
#a040c0,#ffa500,2.67,None
