color,bestColor,contrast,compliance
#10b010,#800080,3.25,None
#10b020,#800080,3.25,None
#10b030,#800080,3.26,None
#10b040,#800080,3.28,None
#10b050,#800080,3.3,None
#10b060,#800080,3.32,None
#10b070,#800080,3.35,None
#10b080,#800080,3.38,None
#10b090,#800080,3.42,None
#10b0a0,#800080,3.47,None
#10b0b0,#800080,3.52,None
#10b0c0,#800080,3.59,None
#10b0d0,#800080,3.65,None
#10b0e0,#800080,3.73,None
#10b0f0,#800080,3.81,None
#10c000,#800080,3.84,None
#10c010,#800080,3.84,None
#10c020,#800080,3.85,None
#10c030,#800080,3.86,None
#10c040,#800080,3.87,None
#10c050,#800080,3.89,None
#10c060,#800080,3.92,None
#10c070,#800080,3.95,None
#10c080,#800080,3.98,None
#10c090,#800080,4.02,None
#10c0a0,#800080,4.07,None
#10c0b0,#800080,4.12,None
#10c0c0,#800080,4.18,None
#10c0d0,#800080,4.25,None
#10c0e0,#800080,4.32,None
#10c0f0,#800080,4.4,None
#10d000,#800080,4.51,AA
#10d010,#800080,4.51,AA
#10d020,#800080,4.51,AA
#10d030,#800080,4.52,AA
#10d040,#800080,4.54,AA
#10d050,#800080,4.56,AA
#10d060,#800080,4.58,AA
#10d070,#800080,4.61,AA
#10d080,#800080,4.64,AA
#10d090,#800080,4.69,AA
#10d0a0,#800080,4.73,AA
#10d0b0,#800080,4.79,AA
#10d0c0,#800080,4.85,AA
#10d0d0,#800080,4.91,AA
#10d0e0,#800080,4.99,AA
#10d0f0,#800080,5.07,AA
#10e000,#800080,5.24,AA
#10e010,#800080,5.24,AA
#10e020,#800080,5.25,AA
#10e030,#800080,5.26,AA
#10e040,#800080,5.27,AA
#10e050,#800080,5.29,AA
#10e060,#800080,5.32,AA
#10e070,#800080,5.35,AA
#10e080,#800080,5.38,AA
#10e090,#800080,5.42,AA
#10e0a0,#800080,5.47,AA
#10e0b0,#800080,5.52,AA
#10e0c0,#800080,5.58,AA
#10e0d0,#800080,5.65,AA
#10e0e0,#800080,5.72,AA
