color,bestColor,contrast,compliance
#101090,#ffffff,14.01,AAA
#1010a0,#ffffff,13.09,AAA
#1010b0,#ffffff,12.19,AAA
#1010c0,#ffffff,11.31,AAA
#1010d0,#ffffff,10.46,AAA
#1010e0,#ffffff,9.67,AAA
#1010f0,#ffffff,8.92,AAA
#102000,#ffffff,17.09,AAA
#102010,#ffffff,16.99,AAA
#102020,#ffffff,16.81,AAA
#102030,#ffffff,16.52,AAA
#102040,#ffffff,16.12,AAA
#102050,#ffffff,15.62,AAA
#102060,#ffffff,15.03,AAA
#102070,#ffffff,14.36,AAA
#102080,#ffffff,13.63,AAA
#102090,#ffffff,12.87,AAA
#1020a0,#ffffff,12.1,AAA
#1020b0,#ffffff,11.32,AAA
#1020c0,#ffffff,10.55,AAA
#1020d0,#ffffff,9.82,AAA
#1020e0,#ffffff,9.11,AAA
#1020f0,#ffffff,8.44,AAA
#103000,#ffffff,14.53,AAA
#103010,#ffffff,14.46,AAA
#103020,#ffffff,14.33,AAA
#103030,#ffffff,14.12,AAA
#103040,#ffffff,13.83,AAA
#103050,#ffffff,13.46,AAA
#103060,#ffffff,13.01,AAA
#103070,#ffffff,12.51,AAA
#103080,#ffffff,11.96,AAA
#103090,#ffffff,11.37,AAA
#1030a0,#ffffff,10.76,AAA
#1030b0,#ffffff,10.14,AAA
#1030c0,#ffffff,9.52,AAA
#1030d0,#ffffff,8.91,AAA
#1030e0,#ffffff,8.33,AAA
#1030f0,#ffffff,7.77,AAA
#104000,#ffffff,11.96,AAA
#104010,#ffffff,11.91,AAA
#104020,#ffffff,11.82,AAA
#104030,#ffffff,11.68,AAA
#104040,#ffffff,11.48,AAA
#104050,#ffffff,11.22,AAA
#104060,#ffffff,10.91,AAA
#104070,#ffffff,10.56,AAA
#104080,#ffffff,10.16,AAA
#104090,#ffffff,9.73,AAA
#1040a0,#ffffff,9.28,AAA
#1040b0,#ffffff,8.81,AAA
#1040c0,#ffffff,8.34,AAA
#1040d0,#ffffff,7.88,AAA
#1040e0,#ffffff,7.42,AAA
#1040f0,#ffffff,6.97,AA
#105000,#ffffff,9.68,AAA
#105010,#ffffff,9.65,AAA
#105020,#ffffff,9.59,AAA
#105030,#ffffff,9.49,AAA
#105040,#ffffff,9.36,AAA
#105050,#ffffff,9.19,AAA
#105060,#ffffff,8.98,AAA
#105070,#ffffff,8.74,AAA
#105080,#ffffff,8.46,AAA
#105090,#ffffff,8.16,AAA
#1050a0,#ffffff,7.84,AAA
#1050b0,#ffffff,7.51,AAA
#1050c0,#ffffff,7.17,AAA
#1050d0,#ffffff,6.82,AA
#1050e0,#ffffff,6.47,AA
#1050f0,#ffffff,6.13,AA
#106000,#ffffff,7.79,AAA
#106010,#ffffff,7.77,AAA
#106020,#ffffff,7.73,AAA
#106030,#ffffff,7.67,AAA
#106040,#ffffff,7.58,AAA
#106050,#ffffff,7.47,AAA
#106060,#ffffff,7.33,AAA
#106070,#ffffff,7.17,AAA
#106080,#ffffff,6.98,AA
#106090,#ffffff,6.78,AA
#1060a0,#ffffff,6.56,AA
#1060b0,#ffffff,6.32,AA
#1060c0,#ffffff,6.08,AA
#1060d0,#ffffff,5.82,AA
#1060e0,#ffffff,5.57,AA
#1060f0,#ffffff,5.31,AA
#107000,#ffffff,6.29,AA
#107010,#ffffff,6.27,AA
#107020,#ffffff,6.25,AA
#107030,#ffffff,6.21,AA
#107040,#ffffff,6.15,AA
#107050,#ffffff,6.08,AA
#107060,#ffffff,5.99,AA
#107070,#ffffff,5.88,AA
#107080,#ffffff,5.75,AA
#107090,#ffffff,5.61,AA
#1070a0,#ffffff,5.46,AA
#1070b0,#ffffff,5.29,AA
#1070c0,#ffffff,5.12,AA
#1070d0,#ffffff,4.94,AA
#1070e0,#ffffff,4.76,AA
#1070f0,#000000,4.6,AA
#108000,#ffffff,5.11,AA
#108010,#ffffff,5.1,AA
#108020,#ffffff,5.08,AA
#108030,#ffffff,5.06,AA
#108040,#ffffff,5.02,AA
#108050,#ffffff,4.97,AA
#108060,#ffffff,4.91,AA
#108070,#ffffff,4.83,AA
#108080,#ffffff,4.75,AA
#108090,#ffffff,4.65,AA
#1080a0,#000000,4.62,AA
#1080b0,#000000,4.74,AA
#1080c0,#000000,4.87,AA
#1080d0,#000000,5.02,AA
#1080e0,#000000,5.19,AA
#1080f0,#000000,5.37,AA
#109000,#000000,5.01,AA
#109010,#000000,5.02,AA
#109020,#000000,5.03,AA
#109030,#000000,5.05,AA
#109040,#000000,5.09,AA
#109050,#000000,5.13,AA
#109060,#000000,5.18,AA
#109070,#000000,5.25,AA
#109080,#000000,5.32,AA
#109090,#000000,5.41,AA
#1090a0,#000000,5.52,AA
#1090b0,#000000,5.64,AA
#1090c0,#000000,5.77,AA
#1090d0,#000000,5.92,AA
#1090e0,#000000,6.09,AA
#1090f0,#000000,6.27,AA
#10a000,#000000,6.05,AA
#10a010,#000000,6.06,AA
#10a020,#000000,6.07,AA
#10a030,#000000,6.09,AA
#10a040,#000000,6.12,AA
#10a050,#000000,6.17,AA
#10a060,#000000,6.22,AA
#10a070,#000000,6.28,AA
#10a080,#000000,6.36,AA
#10a090,#000000,6.45,AA
#10a0a0,#000000,6.56,AA
#10a0b0,#000000,6.68,AA
#10a0c0,#000000,6.81,AA
#10a0d0,#000000,6.96,AA
#10a0e0,#000000,7.13,AAA
#10a0f0,#000000,7.31,AAA
#10b000,#000000,7.23,AAA
#10b010,#000000,7.24,AAA
#10b020,#000000,7.25,AAA
#10b030,#000000,7.27,AAA
#10b040,#000000,7.31,AAA
#10b050,#000000,7.35,AAA
#10b060,#000000,7.4,AAA
#10b070,#000000,7.47,AAA
#10b080,#000000,7.54,AAA
#10b090,#000000,7.63,AAA
#10b0a0,#000000,7.74,AAA
#10b0b0,#000000,7.86,AAA
#10b0c0,#000000,7.99,AAA
#10b0d0,#000000,8.14,AAA
#10b0e0,#000000,8.31,AAA
